id,type,subtype
ffffddc8-5609-40a4-8d7b-40832a75ac9f,house,human
ffffb80f-c6eb-4f20-a038-6178f177e37e,house,human
fff9411b-9271-4803-b05e-ecf63e5508b7,orcs,urukHai
fff70975-e41d-4e09-8d4e-e8755d063097,rock,
fff0c971-4293-4b52-afe3-2217677e3f11,ring,goldRing
ffeeaebc-e48f-451a-a057-e81b291b0921,mountain,
ffea1f13-5815-496c-be92-76d2e60b5ace,orcs,urukHai
ffe4524f-c4ed-4d89-bc42-ab4d22580b39,castle,human
ffde52d4-6f4e-4580-b655-f20c6073f01a,mountain,
ffda57e5-5bd1-4b1e-a823-223a93744376,character,hobbit
ffd5c024-6541-49d3-9c3b-dd266e9065bb,shield,dwarf
ffc115bc-8aba-4359-990e-ff833c5023cc,mountain,
ffb8bac0-5b9f-4b23-8474-6cf33a0a99bb,mountain,
ffb23acb-8db6-4037-9cdc-98de7a998d3d,rock,
ffb0362a-675b-465a-a2e7-4f32c0908713,orcs,urukHai
ffadde6e-7599-4d4d-befa-a8375cbfb17f,character,dwarf
ffabea08-7ffc-4cec-81d6-3c2dda83d363,character,dwarf
ffa7e03f-5179-4a54-9fcb-a991e363a46e,castle,elf
ffa60c3d-8d2f-4393-a06c-a1cdf2a767db,orcs,morannonOrcs
ffa1acbc-f1f1-4e73-b94c-c4efae692a44,orcs,blackUruks
ff9802de-282c-4cb3-bd7b-a4e8b9bcbcb8,orcs,mordorOrcs
ff82e297-b3b3-416a-ba3a-0a285ef33de1,castle,dwarf
ff642257-03b4-457b-97e1-65cf83e80c4b,character,elf
ff5a2961-2e53-4d02-9ec4-ab148190bbcf,house,elf
ff59fe6f-4a5d-461e-87ca-e82f643ed67b,character,elf
ff579023-9947-4c49-bf27-7ee2455c42a7,rock,
ff52070e-eb35-4855-922c-f2edf0758994,castle,human
ff4f8f63-fa5f-45af-95dd-089c0986cb45,orcs,mordorOrcs
ff4e7bcd-16eb-4b98-bb69-08719245b0b1,sword,human
ff471019-c461-4247-b848-233496166ce3,character,elf
ff42b47c-2608-4d06-b65d-931113023bc0,orcs,morannonOrcs
ff4199e9-ca2e-4141-9025-1107e25436b2,ring,goldRing
ff3db7c7-472a-4138-99f8-fafd909e02af,orcs,blackUruks
ff34a229-465d-4efa-b346-32e75b12cce5,rock,
ff2f2398-941f-413c-9411-40c2090debbd,house,hobbit
ff25dad9-d8bb-4ec6-8ae8-51aa9c3a1486,orcs,urukHai
ff23485c-83fe-45cf-89fc-c68d636f8145,farm,human
ff1e4ac4-1d8a-4ff3-9064-86c7d09da829,spear,elf
ff121d5d-b6bc-4149-851d-59c2964c2a61,castle,dwarf
ff10b59a-584a-4471-8553-2fe97129436d,ring,uniqueRing
ff0f83d8-18a3-4fb0-bb01-1a53e9773571,orcs,blackUruks
ff067fe9-f6bc-48da-873c-9a2b3325d82a,castle,hobbit
ff01e871-8486-421f-a4de-323205ca7376,mountain,
fefc9f08-d120-43bf-8643-b9d6035f070d,character,hobbit
feeace94-c930-4e0c-93c0-2166f971e4fa,farm,dwarf
fed874f9-19af-4338-a6f8-99ca936b9c02,mountain,
fed44c6e-68fb-49ae-9d0d-86748f4870c4,rock,
fecc6ebd-1e76-41c6-a173-7dbc162ee449,rock,
fec7ce0f-9aa4-4319-8268-e56b050d0cad,rock,
fec6f4af-ad18-44aa-b0c1-1924fd230313,character,dwarf
fec59648-6f0f-4074-8e8d-9eff07ab0085,orcs,morannonOrcs
febf2918-0f1a-4e90-993d-f42628ae77b4,castle,hobbit
febc2ea9-215f-4c2c-8cd4-0e38fab5fec6,rock,
feb7bb00-f1a1-472c-b6a6-938eae452c32,character,hobbit
feb408f1-3e9d-437d-8450-86096bf2b24f,character,human
feab413a-8312-4acf-a894-30981945e5c5,orcs,urukHai
fea1344f-2b29-4e6e-9df6-66fbca1d6f0a,mountain,
fea0aab4-5e9a-4964-9b13-fc006a635da8,mountain,
fe9282c2-f624-4b8b-a18f-37ba7dbe827b,mountain,
fe7e0368-a78f-46e9-9a24-4bd162b10c0b,orcs,blackUruks
fe7b9dfb-2af1-47f3-bb49-d91e2f1008c5,orcs,blackUruks
fe76ae40-42d6-4bea-863f-1ad60e564ace,ring,uniqueRing
fe75f1c5-a6be-4b4f-b9c8-c7dd8d1b8689,rock,
fe6384c8-6353-4a73-993b-30428a962ee0,rock,
fe5983ec-31e3-4244-a6f8-c67edcecaaf3,character,elf
fe4b7856-95e9-47d9-a0d3-e832d36f9f65,castle,elf
fe40a021-7f40-407f-85cf-5467f601e122,orcs,urukHai
fe39bc13-6b8d-4b8a-9888-ca6f35f308d9,rock,
fe35b53a-c71d-4971-bfac-128ae940714e,rock,
fe346655-2ba9-4836-a032-7cf47c7cd254,orcs,morannonOrcs
fe341890-c33f-42cf-b77b-8fb8e35f116f,orcs,morannonOrcs
fe334bf0-26a4-4136-bd8e-f7aa2257a9e9,rock,
fe2f663e-48d8-441d-b1c6-4fb1e702b17c,farm,dwarf
fe2546e3-a681-4320-b99e-4e56de2dd1c0,orcs,mordorOrcs
fe253194-1c82-4c37-8edc-b5a74c2cd956,orcs,blackUruks
fe1d2467-3d5a-4666-beab-98ab585f557a,orcs,mordorOrcs
fe160c53-2dc0-4b70-98ed-edf6d3a116c4,rock,
fe0fafdd-06c7-4a13-bf83-e352324f2e30,mountain,
fe0e3935-de7d-4bd0-876c-86600d332e00,rock,
fdfdc14f-1fd1-454e-a436-ac4df4adf60c,rock,
fdf54896-d8a7-49bc-bccf-a46abcd4fd51,orcs,urukHai
fdf2a226-351b-45dd-b87e-21707274ea45,rock,
fdeeaf0d-f2aa-4632-a580-07608385b1a6,house,dwarf
fddafdc1-a6cf-48b2-8139-504ff527c4df,orcs,mordorOrcs
fdd60961-5cce-4554-a2a2-e04e0e69afbd,castle,hobbit
fdd12912-6487-4414-953f-57be5aa520f8,orcs,morannonOrcs
fdcddda7-9911-40d8-96f6-256b639b4849,ring,uniqueRing
fdcd929e-e881-4448-95fc-8cad7ed93246,character,elf
fdcbbf70-3872-4b7b-9ab5-83a0c0e23562,helmet,hobbit
fdc4951d-e8dd-45fc-bc16-23cf68fe5aeb,orcs,urukHai
fdb56a09-4444-495e-8a9b-6a1e94754c3d,mountain,
fdae9b92-69a2-4c8b-bf5f-6d1582d0252b,character,dwarf
fdab4d0d-9837-48ba-823f-506033c4ef60,character,elf
fda51e96-aa15-434d-b533-f566e6f0787c,character,human
fda351bd-8a93-4380-a3f4-4a263d84bcf8,orcs,morannonOrcs
fda0440d-a9d0-4416-b4e5-a62fbb92b8ea,helmet,human
fda01f9e-23fe-412b-930b-43343e7c1edf,character,human
fd9890cb-ed13-4ce6-8d08-662b6e2561d3,orcs,mordorOrcs
fd950f48-ebe5-4d99-8cac-ac75ac503e49,rock,
fd92a923-64da-4f83-96ea-fd7c49320b9e,rock,
fd7d5b3e-cbfc-45cb-a803-e940f45ecac4,character,elf
fd797b62-7bed-46d3-b569-a0af9fe91277,orcs,mordorOrcs
fd7449f0-2c6e-4757-a76f-f7fcd9acecd3,character,hobbit
fd7448a4-09e7-4d3f-97bd-dbd6439e9801,mountain,
fd74377e-f632-4ae7-af76-c22cf1c98efa,character,hobbit
fd719a17-85f4-4407-b0ce-5b39e6cf54b8,mountain,
fd70de3f-99a6-4871-9367-b10462619e18,mountain,
fd6c5504-b9e0-41a8-abb5-41f7ef89d79c,character,hobbit
fd658f14-660f-4b3f-8d36-9b7c23eefcf7,mountain,
